Received regular ping from 64.233.171.104, time=18 ms
Received regular ping from 64.233.171.103, time=18 ms
Received regular ping from 64.233.171.105, time=19 ms
Received regular ping from 64.233.171.147, time=19 ms
Received regular ping from 64.233.171.106, time=19 ms
Received regular ping from 64.233.171.99, time=19 ms
Received regular ping from 74.125.228.3, time=12 ms
Received regular ping from 74.125.228.1, time=21 ms
Received regular ping from 74.125.228.5, time=12 ms
Received regular ping from 74.125.228.7, time=12 ms
Received regular ping from 74.125.228.0, time=17 ms
Received regular ping from 74.125.228.9, time=22 ms
Received regular ping from 74.125.228.8, time=12 ms
Received regular ping from 74.125.228.4, time=13 ms
Received regular ping from 74.125.228.6, time=14 ms
Received regular ping from 74.125.228.14, time=13 ms
Received regular ping from 74.125.228.2, time=18 ms
Received regular ping from 31.13.71.1, time=21 ms
Received regular ping from 204.79.197.203, time=14 ms
Failed to receive regular ping from 72.21.206.6, time=0 ms
Received regular ping from 199.16.156.198, time=28 ms
Received regular ping from 199.16.156.6, time=29 ms
Received regular ping from 199.16.156.230, time=28 ms
Received regular ping from 199.16.156.38, time=28 ms
Received regular ping from 104.68.131.39, time=13 ms
Received regular ping from 198.41.208.190, time=11 ms
Received regular ping from 104.16.28.190, time=11 ms
Received regular ping from 104.16.30.190, time=11 ms
Received regular ping from 104.16.31.190, time=11 ms
Received regular ping from 104.16.29.190, time=13 ms
Received regular ping from 23.218.123.131, time=13 ms
Failed to receive regular ping from 66.135.210.61, time=0 ms
Failed to receive regular ping from 66.135.210.181, time=0 ms
Failed to receive regular ping from 66.211.181.161, time=0 ms
Failed to receive regular ping from 66.211.181.181, time=0 ms
Received regular ping from 98.139.183.24, time=27 ms
Received regular ping from 98.139.180.149, time=27 ms
Failed to receive regular ping from 174.129.194.251, time=0 ms
Received regular ping from 204.79.197.200, time=11 ms
Received regular ping from 208.80.154.224, time=15 ms
Received regular ping from 96.6.113.176, time=13 ms
Received regular ping from 96.6.113.179, time=13 ms
Received regular ping from 23.235.39.131, time=25 ms
Failed to receive regular ping from 207.46.11.236, time=0 ms
Failed to receive regular ping from 207.46.11.252, time=0 ms
Received regular ping from 104.68.130.22, time=10 ms
Failed to receive regular ping from 137.116.112.78, time=0 ms
Failed to receive regular ping from 191.238.18.91, time=0 ms
Received regular ping from 192.0.78.12, time=11 ms
Received regular ping from 192.0.78.13, time=13 ms
Failed to receive regular ping from 192.150.16.64, time=0 ms
Failed to receive regular ping from 23.23.115.227, time=0 ms
Failed to receive regular ping from 50.16.216.108, time=0 ms
